UT_TIME TOTAL_TIME DIFF
9.503 19.718 10.215
11.028 21.244 10.216
8.509 18.726 10.217
11.054 21.272 10.218
8.459 18.681 10.222
8.547 18.770 10.223
8.86 19.083 10.223
7.644 17.870 10.226
9.211 19.437 10.226
26.073 36.305 10.232
10.125 20.360 10.235
10.728 20.963 10.235
9.885 20.120 10.235
0.806 11.042 10.236
8.743 18.979 10.236
26.737 36.974 10.237
2.114 12.352 10.238
8.286 18.524 10.238
9.13 19.372 10.242
10.628 20.872 10.244
0.978 11.225 10.247
11.003 21.250 10.247
14.609 24.858 10.249
7.982 18.239 10.257
7.624 17.882 10.258
10.093 20.356 10.263
12.317 22.582 10.265
12.731 23.000 10.269
16.558 26.829 10.271
6.516 16.788 10.272
11.39 21.664 10.274
11.914 22.191 10.277
19.862 30.139 10.277
9.522 19.800 10.278
7.339 17.618 10.279
0.644 10.929 10.285
10.12 20.408 10.288
6.662 16.950 10.288
9.261 19.549 10.288
11.227 21.519 10.292
9.116 19.409 10.293
11.706 22.000 10.294
14.953 25.249 10.296
4.075 14.371 10.296
8.652 18.948 10.296
9.261 19.561 10.300
6.079 16.380 10.301
7.941 18.244 10.303
11.571 21.875 10.304
6.005 16.309 10.304
12.368 22.673 10.305
6.293 16.599 10.306
7.152 17.459 10.307
11.739 22.049 10.310
7.809 18.122 10.313
21.873 32.189 10.316
8.981 19.297 10.316
10.088 20.405 10.317
11.139 21.464 10.325
21.275 31.600 10.325
0.978 11.304 10.326
8.339 18.667 10.328
0.894 11.224 10.330
11.988 22.318 10.330
12.215 22.545 10.330
11.654 21.985 10.331
36.166 46.497 10.331
9.342 19.678 10.336
11.54 21.877 10.337
11.877 22.220 10.343
8.802 19.146 10.344
7.438 17.791 10.353
12.424 22.778 10.354
9.334 19.691 10.357
3.025 13.384 10.359
7.978 18.338 10.360
11.976 22.337 10.361
17.053 27.417 10.364
16.907 27.273 10.366
13.637 24.004 10.367
27.467 37.834 10.367
8.146 18.518 10.372
11.56 21.934 10.374
11.699 22.078 10.379
0.983 11.367 10.384
10.157 20.549 10.392
9.046 19.438 10.392
1.748 12.143 10.395
8.208 18.604 10.396
0.412 10.819 10.407
9.023 19.431 10.408
6.347 16.758 10.411
9.326 19.737 10.411
16.761 27.174 10.413
7.381 17.794 10.413
11.636 22.056 10.420
7.481 17.902 10.421
8.819 19.240 10.421
11.101 21.523 10.422
7.553 17.978 10.425
8.745 19.176 10.431
0.693 11.125 10.432
9.545 19.979 10.434
9.777 20.217 10.440
10.989 21.432 10.443
9.898 20.341 10.443
0.545 10.994 10.449
7.306 17.755 10.449
8.166 18.618 10.452
7.07 17.526 10.456
11.577 22.037 10.460
7.127 17.588 10.461
11.585 22.050 10.465
6.55 17.016 10.466
46.822 57.291 10.469
10.015 20.485 10.470
8.047 18.517 10.470
11.145 21.621 10.476
7.499 17.975 10.476
8.901 19.378 10.477
0.361 10.840 10.479
9.907 20.388 10.481
11.391 21.874 10.483
15.662 26.145 10.483
6.862 17.351 10.489
12.238 22.730 10.492
6.958 17.451 10.493
8.247 18.740 10.493
9.834 20.329 10.495
1.442 11.938 10.496
17.647 28.147 10.500
15.043 25.544 10.501
8.549 19.056 10.507
8.048 18.557 10.509
10.852 21.366 10.514
12.6 23.114 10.514
2.758 13.273 10.515
30.772 41.290 10.518
1.956 12.476 10.520
5.431 15.956 10.525
10.778 21.305 10.527
9.425 19.953 10.528
10.798 21.331 10.533
14.659 25.192 10.533
8.388 18.921 10.533
9.785 20.318 10.533
10.206 20.741 10.535
14.701 25.237 10.536
4.59 15.127 10.537
1.691 12.229 10.538
15.119 25.658 10.539
4.449 14.991 10.542
5.784 16.326 10.542
4.437 14.982 10.545
10.72 21.266 10.546
17.249 27.795 10.546
8.073 18.619 10.546
6.892 17.440 10.548
11.342 21.901 10.559
7.88 18.443 10.563
5.843 16.411 10.568
9.322 19.893 10.571
8.413 18.991 10.578
7.467 18.052 10.585
1.928 12.517 10.589
1.544 12.134 10.590
4.585 15.176 10.591
7.678 18.274 10.596
7.915 18.514 10.599
9.365 19.964 10.599
7.449 18.051 10.602
0.793 11.400 10.607
9.66 20.269 10.609
7.876 18.488 10.612
13.206 23.822 10.616
9.054 19.681 10.627
10.39 21.022 10.632
9.666 20.305 10.639
9.096 19.742 10.646
12.988 23.639 10.651
5.76 16.413 10.653
8.064 18.718 10.654
10.401 21.056 10.655
21.544 32.202 10.658
1.551 12.212 10.661
11.42 22.082 10.662
7.078 17.740 10.662
8.074 18.739 10.665
15.548 26.214 10.666
6.399 17.067 10.668
9.311 19.979 10.668
11.553 22.222 10.669
10.026 20.697 10.671
10.146 20.819 10.673
0.253 10.928 10.675
11.612 22.287 10.675
7.99 18.665 10.675
4.648 15.324 10.676
12.267 22.950 10.683
7.708 18.391 10.683
10.533 21.219 10.686
0.454 11.144 10.690
10.442 21.133 10.691
7.386 18.078 10.692
0.827 11.520 10.693
0.99 11.689 10.699
12.433 23.136 10.703
31.828 42.533 10.705
7.939 18.646 10.707
0.712 11.420 10.708
9.209 19.917 10.708
8.949 19.663 10.714
1.677 12.392 10.715
4.378 15.095 10.717
7.45 18.167 10.717
15.209 25.928 10.719
13.813 24.535 10.722
15.762 26.486 10.724
5.813 16.538 10.725
11.729 22.462 10.733
1.076 11.810 10.734
7.715 18.451 10.736
10.505 21.244 10.739
11.634 22.373 10.739
9.426 20.167 10.741
5.867 16.612 10.745
8.539 19.284 10.745
11.022 21.769 10.747
8.856 19.604 10.748
7.141 17.890 10.749
10.941 21.696 10.755
7.054 17.809 10.755
4.252 15.017 10.765
3.421 14.188 10.767
8.16 18.932 10.772
10.807 21.581 10.774
15.671 26.452 10.781
12.029 22.812 10.783
19.4 30.190 10.790
8.758 19.550 10.792
11.204 21.997 10.793
7.295 18.091 10.796
8.224 19.022 10.798
0.193 10.993 10.800
0.709 11.509 10.800
9.091 19.900 10.809
20.009 30.820 10.811
8.701 19.512 10.811
3.863 14.679 10.816
15.533 26.351 10.818
11.607 22.428 10.821
3.706 14.527 10.821
3.588 14.412 10.824
10.975 21.805 10.830
5.753 16.583 10.830
6.02 16.851 10.831
26.556 37.391 10.835
8.989 19.828 10.839
8.725 19.566 10.841
9.71 20.551 10.841
10.528 21.375 10.847
10.618 21.466 10.848
20.987 31.836 10.849
9.348 20.199 10.851
0.434 11.293 10.859
31.836 42.698 10.862
8.196 19.074 10.878
1.845 12.727 10.882
41.086 51.970 10.884
10.773 21.659 10.886
11.693 22.581 10.888
7.809 18.700 10.891
9.482 20.376 10.894
7.094 17.990 10.896
7.347 18.244 10.897
7.216 18.118 10.902
15.499 26.410 10.911
9.171 20.085 10.914
0.741 11.663 10.922
13.497 24.420 10.923
3.204 14.130 10.926
3.945 14.891 10.946
13.461 24.410 10.949
11.996 22.946 10.950
8.712 19.677 10.965
6.208 17.177 10.969
8.783 19.754 10.971
8.854 19.827 10.973
10.026 21.006 10.980
9.117 20.103 10.986
10.673 21.660 10.987
6.763 17.750 10.987
7.945 18.946 11.001
10.671 21.673 11.002
8.115 19.117 11.002
0.658 11.663 11.005
8.696 19.709 11.013
7.696 18.713 11.017
8.296 19.314 11.018
10.934 21.956 11.022
33.247 44.273 11.026
5.752 16.787 11.035
8.35 19.393 11.043
11.705 22.750 11.045
8.949 19.996 11.047
8.451 19.507 11.056
7.79 18.848 11.058
7.55 18.617 11.067
7.077 18.149 11.072
7.767 18.844 11.077
8.027 19.111 11.084
12.224 23.312 11.088
7.793 18.883 11.090
8.884 19.974 11.090
1.054 12.151 11.097
8.536 19.636 11.100
6.751 17.853 11.102
8.158 19.261 11.103
10.606 21.713 11.107
27.258 38.365 11.107
1.067 12.179 11.112
24.115 35.229 11.114
9.62 20.739 11.119
16.824 27.946 11.122
17.274 28.405 11.131
4.231 15.362 11.131
7.932 19.070 11.138
10.678 21.823 11.145
9.586 20.734 11.148
10.524 21.675 11.151
8.01 19.161 11.151
3.449 14.602 11.153
11.495 22.659 11.164
15.189 26.353 11.164
8.911 20.079 11.168
12.861 24.032 11.171
1.088 12.260 11.172
8.308 19.488 11.180
6.709 17.890 11.181
11.978 23.164 11.186
7.731 18.918 11.187
11.271 22.460 11.189
18.449 29.639 11.190
8.381 19.581 11.200
9.734 20.939 11.205
8.51 19.723 11.213
6.392 17.610 11.218
47.828 59.056 11.228
6.938 18.178 11.240
7.318 18.559 11.241
5.792 17.036 11.244
7.035 18.280 11.245
8 19.246 11.246
9.797 21.044 11.247
19.014 30.266 11.252
5.062 16.316 11.254
9.708 20.966 11.258
9.467 20.726 11.259
6.079 17.339 11.260
9.878 21.139 11.261
5.538 16.801 11.263
8.226 19.489 11.263
47.854 59.122 11.268
26.029 37.298 11.269
2.19 13.468 11.278
26.291 37.572 11.281
8.6 19.882 11.282
12.109 23.395 11.286
16.982 28.270 11.288
14.602 25.891 11.289
7.235 18.527 11.292
8.253 19.547 11.294
3.041 14.336 11.295
1.613 12.909 11.296
7.421 18.718 11.297
9.106 20.404 11.298
6.363 17.662 11.299
9.174 20.473 11.299
8.976 20.278 11.302
5.668 16.975 11.307
7.207 18.514 11.307
0.21 11.519 11.309
7.677 19.002 11.325
15.847 27.173 11.326
4.341 15.683 11.342
13.043 24.394 11.351
9.281 20.640 11.359
16.518 27.879 11.361
6.964 18.325 11.361
31.547 42.922 11.375
7.019 18.397 11.378
8.802 20.184 11.382
11.812 23.198 11.386
7.346 18.732 11.386
11.094 22.485 11.391
11.498 22.902 11.404
6.169 17.574 11.405
13.386 24.793 11.407
8.31 19.722 11.412
7.044 18.457 11.413
8.271 19.687 11.416
18.744 30.162 11.418
11.022 22.457 11.435
1.104 12.542 11.438
2.7 14.142 11.442
14.457 25.900 11.443
7.945 19.393 11.448
8.176 19.633 11.457
8.13 19.602 11.472
8.217 19.702 11.485
9.907 21.396 11.489
10.169 21.662 11.493
13.463 24.958 11.495
6.94 18.437 11.497
11.646 23.148 11.502
7.052 18.556 11.504
9.912 21.419 11.507
1.258 12.771 11.513
11.083 22.604 11.521
9.554 21.079 11.525
9.648 21.173 11.525
2.925 14.451 11.526
9.363 20.889 11.526
7.68 19.209 11.529
9.994 21.526 11.532
15.255 26.793 11.538
10.656 22.204 11.548
28.17 39.718 11.548
7.875 19.433 11.558
26.867 38.426 11.559
6.915 18.478 11.563
1.12 12.697 11.577
6.594 18.178 11.584
3.678 15.270 11.592
7.781 19.382 11.601
0.055 11.676 11.621
8.853 20.476 11.623
10.791 22.419 11.628
9.919 21.549 11.630
7.78 19.433 11.653
0.582 12.243 11.661
9.333 21.020 11.687
9.024 20.714 11.690
6.973 18.674 11.701
8.442 20.150 11.708
7.076 18.815 11.739
26.559 38.310 11.751
9.167 20.918 11.751
26.094 37.851 11.757
9.87 21.633 11.763
10.302 22.086 11.784
7.416 19.202 11.786
0.533 12.326 11.793
9.103 20.900 11.797
47.662 59.476 11.814
8.582 20.402 11.820
10.325 22.156 11.831
7.775 19.607 11.832
7.82 19.654 11.834
7.674 19.516 11.842
19.536 31.383 11.847
8.564 20.411 11.847
7.521 19.386 11.865
8.879 20.766 11.887
7.982 19.872 11.890
1.704 13.604 11.900
9.077 20.995 11.918
10.583 22.504 11.921
8.665 20.588 11.923
7.845 19.812 11.967
6.63 18.598 11.968
8.653 20.623 11.970
6.625 18.614 11.989
1.633 13.623 11.990
9.056 21.049 11.993
6.677 18.684 12.007
7.795 19.821 12.026
29.477 41.504 12.027
9.891 21.946 12.055
2.873 14.935 12.062
8.757 20.826 12.069
27.078 39.159 12.081
2.596 14.682 12.086
0.669 12.762 12.093
6.966 19.076 12.110
7.741 19.862 12.121
8.96 21.089 12.129
14.314 26.445 12.131
7.934 20.072 12.138
9.815 21.961 12.146
18.125 30.287 12.162
8.564 20.747 12.183
7.284 19.490 12.206
7.144 19.358 12.214
8.368 20.613 12.245
7.604 19.875 12.271
8.484 20.764 12.280
7.844 20.132 12.288
8.472 20.779 12.307
25.539 37.875 12.336
10.023 22.361 12.338
9.382 21.740 12.358
8.464 20.828 12.364
13.246 25.617 12.371
10.054 22.457 12.403
9.417 21.835 12.418
7.975 20.425 12.450
5.729 18.218 12.489
7.454 19.969 12.515
7.89 20.411 12.521
10.042 22.588 12.546
10.282 22.833 12.551
3.275 15.853 12.578
6.362 18.991 12.629
7.751 20.387 12.636
7.056 19.706 12.650
7.555 20.229 12.674
10.873 23.560 12.687
6.996 19.695 12.699
8.401 21.100 12.699
11.703 24.411 12.708
8.961 21.670 12.709
8.91 21.635 12.725
6.96 19.691 12.731
6.87 19.658 12.788
7.746 20.586 12.840
10.203 23.076 12.873
37.622 50.613 12.991
11.674 24.677 13.003
10.469 23.550 13.081
10.197 23.424 13.227
13.497 26.758 13.261
16.313 29.610 13.297
25.833 39.134 13.301
26.856 40.175 13.319
3.459 16.891 13.432
8.628 22.060 13.432
9.556 22.995 13.439
3.912 17.548 13.636
10.033 23.759 13.726
5.127 18.988 13.861
10.596 24.470 13.874
4.902 18.877 13.975
9.226 23.294 14.068
4.678 18.796 14.118
10.977 25.140 14.163
11.164 25.340 14.176
3.649 17.962 14.313
4.109 18.713 14.604
11.812 26.467 14.655
9.186 23.909 14.723
14.176 29.038 14.862
8.675 23.946 15.271
11.206 26.589 15.383
9.466 24.958 15.492
18.659 34.259 15.600
9.52 25.208 15.688
19.855 36.113 16.258
14.48 30.827 16.347
15.856 32.392 16.536
1.607 18.487 16.880
24.172 41.134 16.962
9.729 27.692 17.963
9.27 27.421 18.151
15.074 33.587 18.513
24.02 42.692 18.672
10.648 29.405 18.757
0.531 19.484 18.953
7.822 26.856 19.034
9.255 28.556 19.301
16.984 36.506 19.522
10.275 30.627 20.352
10.563 31.148 20.585
10.7 31.495 20.795
9.403 30.294 20.891
9.846 30.866 21.020
15.139 36.665 21.526
1.097 22.648 21.551
9.045 30.881 21.836
14.978 36.859 21.881
11.059 33.064 22.005
23.979 46.464 22.485
12.366 34.899 22.533
10.588 33.419 22.831
15.451 39.627 24.176
10.04 34.403 24.363
16.098 40.527 24.429
11.131 35.609 24.478
8.46 32.943 24.483
0.497 25.001 24.504
15.231 40.383 25.152
10.628 36.770 26.142
9.418 35.567 26.149
4.939 32.035 27.096
24.195 51.651 27.456
0.601 28.778 28.177
19.088 47.359 28.271
10.726 39.169 28.443
14.949 43.913 28.964
10.148 39.218 29.070
9.634 39.009 29.375
8.016 37.817 29.801
16.033 46.322 30.289
23.982 56.234 32.252
9.394 45.916 36.522
